City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.7193,8.7815,27.98,81,75,3.6,GA,1680475843
1,dikson,73.5069,80.5464,-26.5,95,100,5.75,RU,1680475833
2,cape town,-33.9258,18.4232,21.32,86,75,4.63,ZA,1680475800
3,georgetown,5.4112,100.3354,25.96,88,20,1.03,MY,1680475728
4,pravia,43.4906,-6.1508,8.37,81,40,1.03,ES,1680476382
5,geraldton,-28.7667,114.6,18.23,88,75,2.57,AU,1680475877
6,chokurdakh,70.6333,147.9167,-21.67,91,72,5.6,RU,1680475843
7,dunedin,-45.8742,170.5036,16.71,57,17,0.89,NZ,1680475777
8,saint-philippe,-21.3585,55.7679,24.77,82,98,4.0,RE,1680475816
9,nikolskoye,59.7035,30.7861,-2.06,96,100,5.39,RU,1680475835
10,fortuna,40.5982,-124.1573,10.19,81,100,2.45,US,1680475846
11,platanos,37.6667,21.6167,14.76,86,98,2.0,GR,1680476382
12,rikitea,-23.1203,-134.9692,26.86,81,29,7.19,PF,1680475820
13,butaritari,3.0707,172.7902,27.49,78,33,4.88,KI,1680475838
14,loandjili,-4.7561,11.8578,26.41,86,94,3.0,CG,1680476382
15,hay river,60.8156,-115.7999,-9.02,79,100,2.57,CA,1680476382
16,sitka,57.0531,-135.33,5.94,70,75,2.06,US,1680475825
17,faanui,-16.4833,-151.75,28.3,69,100,3.48,PF,1680475841
18,husavik,66.0449,-17.3389,1.11,82,100,3.27,IS,1680475851
19,thompson,55.7435,-97.8558,-11.91,48,20,5.66,CA,1680475823
20,ushuaia,-54.8,-68.3,11.81,54,40,3.6,AR,1680475607
21,port elizabeth,-33.918,25.5701,21.29,70,0,6.69,ZA,1680475835
22,albany,42.6001,-73.9662,5.36,26,8,1.79,US,1680475576
23,antofagasta,-23.65,-70.4,22.6,84,39,1.82,CL,1680476114
24,luderitz,-26.6481,15.1594,15.81,86,4,5.46,NA,1680475841
25,yugorsk,61.3133,63.3319,-0.96,95,71,1.02,RU,1680476383
26,claresholm,50.0333,-113.5852,2.59,60,100,1.54,CA,1680476383
27,punta arenas,-53.15,-70.9167,15.06,41,75,3.6,CL,1680476384
28,norrtalje,59.758,18.705,-1.66,89,13,3.02,SE,1680476384
29,cayenne,4.9333,-52.3333,25.02,83,75,2.06,GF,1680475824
30,ucluelet,48.9329,-125.5528,6.17,71,92,5.54,CA,1680475878
31,goderich,43.7501,-81.7165,4.95,48,40,5.14,CA,1680476361
32,kavieng,-2.5744,150.7967,28.8,74,99,5.44,PG,1680475824
33,salalah,17.0151,54.0924,28.05,83,75,3.09,OM,1680475873
34,upington,-28.4478,21.2561,22.21,28,72,3.09,ZA,1680476384
35,trinidad,-14.8333,-64.9,30.99,70,40,1.54,BO,1680476204
36,dhidhdhoo,6.8833,73.1,28.25,63,100,2.88,MV,1680476384
37,vaini,-21.2,-175.2,28.09,69,20,6.17,TO,1680475830
38,bengkulu,-3.8004,102.2655,23.08,91,99,2.06,ID,1680475848
39,kapaa,22.0752,-159.319,27.18,72,20,3.6,US,1680475821
40,new norfolk,-42.7826,147.0587,15.51,66,60,1.34,AU,1680475837
41,vardo,70.3705,31.1107,-5.01,80,75,5.14,NO,1680476139
42,teya,60.3778,92.6267,-7.26,92,100,3.41,RU,1680476385
43,hobart,-42.8794,147.3294,15.7,68,20,3.6,AU,1680475818
44,hermanus,-34.4187,19.2345,18.78,94,38,1.88,ZA,1680475826
45,port augusta,-32.5,137.7667,18.58,31,84,1.93,AU,1680475874
46,djougou,9.7085,1.666,30.79,30,64,0.43,BJ,1680476385
47,sri aman,1.2376,111.4621,22.03,100,100,0.0,MY,1680476277
48,lata,40.1629,-8.3327,11.62,76,99,1.02,PT,1680475873
49,busselton,-33.65,115.3333,14.76,91,1,4.09,AU,1680475820
50,byron bay,-28.65,153.6167,19.28,84,50,3.82,AU,1680475829
51,vestmannaeyjar,63.4427,-20.2734,5.86,91,100,10.05,IS,1680476305
52,norman wells,65.282,-126.8329,-7.98,57,75,2.06,CA,1680475856
53,pochutla,15.7432,-96.4661,30.46,52,18,3.37,MX,1680476385
54,airai,-8.9266,125.4092,16.87,87,60,0.78,TL,1680475839
55,kommunisticheskiy,61.6789,64.4819,-0.7,93,65,1.41,RU,1680476385
56,bredasdorp,-34.5322,20.0403,17.62,91,2,2.91,ZA,1680475815
57,tasiilaq,65.6145,-37.6368,-1.91,92,99,2.89,GL,1680475837
58,lebu,-37.6167,-73.65,12.27,82,0,6.52,CL,1680475822
59,east retford,53.3221,-0.9432,4.25,45,4,2.13,GB,1680476386
60,hilo,19.7297,-155.09,25.34,90,75,3.6,US,1680475807
61,avarua,-21.2078,-159.775,27.03,69,75,4.63,CK,1680475823
62,arraial do cabo,-22.9661,-42.0278,23.92,78,75,4.12,BR,1680475836
63,lompoc,34.6391,-120.4579,19.88,76,75,12.52,US,1680475664
64,vila franca do campo,37.7167,-25.4333,13.23,60,29,6.69,PT,1680475853
65,chuy,-33.6971,-53.4616,16.87,78,81,2.7,UY,1680475827
66,butembo,0.15,29.2833,13.69,96,43,0.93,CD,1680476386
67,saskylakh,71.9167,114.0833,-8.35,96,100,1.69,RU,1680475832
68,iwanai,42.9744,140.5089,7.28,54,3,0.7,JP,1680475871
69,barrow,71.2906,-156.7887,-13.99,78,100,5.14,US,1680475824
70,lucea,18.451,-78.1736,28.25,72,26,3.96,JM,1680476386
71,mahebourg,-20.4081,57.7,26.25,89,75,3.09,MU,1680475828
72,bluff,-46.6,168.3333,14.33,66,92,4.11,NZ,1680475823
73,hithadhoo,-0.6,73.0833,27.7,71,13,2.79,MV,1680475828
74,sao joao da barra,-21.6403,-41.0511,25.05,75,58,5.12,BR,1680476386
75,ambilobe,-13.2,49.05,22.37,96,90,1.31,MG,1680476387
76,dongsheng,39.8161,109.9776,-1.06,97,100,10.94,CN,1680476387
77,worland,44.0169,-107.9554,9.38,41,40,3.58,US,1680476151
78,hurghada,27.2574,33.8129,18.02,42,0,3.09,EG,1680476387
79,coffs harbour,-30.3,153.1333,20.07,88,75,4.63,AU,1680476387
80,sabancuy,18.9667,-91.1833,29.55,61,1,4.29,MX,1680476387
81,upernavik,72.7868,-56.1549,-29.28,98,45,0.87,GL,1680475830
82,puerto ayora,-0.7393,-90.3518,29.98,89,84,3.58,EC,1680475820
83,huarmey,-10.0681,-78.1522,25.86,79,62,3.45,PE,1680476387
84,rieti,42.4072,12.8592,10.34,83,99,2.61,IT,1680476387
85,port blair,11.6667,92.75,25.71,76,100,2.9,IN,1680475853
86,ostrovnoy,68.0531,39.5131,-8.48,86,100,2.31,RU,1680475849
87,lorengau,-2.0226,147.2712,28.05,77,99,2.82,PG,1680475854
88,ulladulla,-35.35,150.4667,18.2,67,29,0.74,AU,1680475856
89,havoysund,70.9963,24.6622,-0.87,78,99,5.06,NO,1680475830
90,hambantota,6.1241,81.1185,24.63,86,2,1.88,LK,1680475859
91,saldanha,-33.0117,17.9442,18.03,92,67,4.3,ZA,1680476388
92,yellowknife,62.456,-114.3525,-10.71,62,75,0.0,CA,1680475827
93,aliwal north,-30.6937,26.7114,14.29,85,100,1.63,ZA,1680476388
94,cabo san lucas,22.8909,-109.9124,29.78,50,100,0.89,MX,1680475819
95,iwaki,37.05,140.8833,11.12,67,86,2.24,JP,1680476388
96,sao filipe,14.8961,-24.4956,24.86,60,0,3.23,CV,1680475847
97,baghdad,33.3406,44.4009,13.95,54,0,1.03,IQ,1680476388
98,opuwo,-18.0607,13.84,20.57,35,9,1.85,NA,1680475872
99,mataura,-46.1927,168.8643,14.15,56,70,1.21,NZ,1680475823
100,sterling,39.0062,-77.4286,13.48,37,20,3.6,US,1680476090
101,hasaki,35.7333,140.8333,12.22,60,100,9.28,JP,1680475851
102,hirara,24.8,125.2833,18.92,77,75,1.54,JP,1680475853
103,grand gaube,-20.0064,57.6608,26.32,76,93,5.15,MU,1680476389
104,saint-louis,16.3333,-15.0,31.8,13,93,6.87,SN,1680476389
105,east london,-33.0153,27.9116,21.58,77,100,3.76,ZA,1680475815
106,tuatapere,-46.1333,167.6833,13.81,55,93,1.87,NZ,1680475830
107,grindavik,63.8424,-22.4338,4.26,87,100,7.2,IS,1680476389
108,port alfred,-33.5906,26.891,20.66,93,100,0.45,ZA,1680475838
109,manggar,-2.8833,108.2667,25.02,84,100,1.25,ID,1680475875
110,moerai,-22.4333,-151.3333,22.91,82,100,2.41,PF,1680475861
111,camapua,-19.5314,-54.0439,23.57,68,0,2.2,BR,1680476389
112,lagoa,39.05,-27.9833,13.67,59,69,9.44,PT,1680475859
113,lasa,46.6166,10.7002,8.49,94,61,2.81,IT,1680475852
114,lunsar,8.6833,-12.5333,26.21,82,30,1.82,SL,1680476389
115,poum,-20.2333,164.0167,26.74,72,8,2.2,NC,1680475838
116,padang,-0.9492,100.3543,24.03,87,100,0.52,ID,1680476389
117,ponta delgada,37.7333,-25.6667,13.4,71,20,4.63,PT,1680475856
118,papetoai,-17.4961,-149.8729,31.77,74,100,3.53,PF,1680476390
119,san pedro,14.35,121.0167,26.86,79,20,1.03,PH,1680476257
120,tuktoyaktuk,69.4541,-133.0374,-17.0,71,20,5.14,CA,1680475856
121,bambous virieux,-20.3428,57.7575,26.23,89,75,3.09,MU,1680475849
122,castro,-24.7911,-50.0119,16.75,92,60,2.97,BR,1680475828
123,kenai,60.5544,-151.2583,3.05,32,0,1.54,US,1680476390
124,katherine,-14.4667,132.2667,28.18,74,20,2.57,AU,1680475833
125,touros,-5.1989,-35.4608,25.8,81,100,2.86,BR,1680475846
126,hastings,50.8552,0.5729,6.1,40,6,5.09,GB,1680475878
127,barao de melgaco,-16.1944,-55.9675,24.23,83,53,1.21,BR,1680476390
128,coahuayana,18.7333,-103.6833,29.41,48,97,2.75,MX,1680476390
129,khasan,42.4308,130.6434,5.36,84,10,1.78,RU,1680476390
130,mar del plata,-38.0023,-57.5575,21.08,59,0,2.57,AR,1680475635
131,damietta,31.4165,31.8133,17.94,74,3,3.66,EG,1680476391
132,balkanabat,39.5108,54.3671,9.39,76,100,4.72,TM,1680476391
133,chivay,-15.6383,-71.6011,11.02,80,98,2.28,PE,1680476391
134,komsomolskiy,40.4272,71.7189,13.4,71,97,3.09,UZ,1680475857
135,tura,25.5198,90.2201,18.03,82,61,2.18,IN,1680475837
136,cherskiy,68.75,161.3,-27.75,93,30,2.15,RU,1680475830
137,kaman,27.65,77.2667,21.95,52,1,0.92,IN,1680476392
138,iqaluit,63.7506,-68.5145,-11.15,57,75,4.63,CA,1680475832
139,ponta do sol,32.6667,-17.1,19.28,82,0,1.44,PT,1680475835
140,catuday,16.2923,119.8062,25.15,78,60,1.14,PH,1680475852
141,rosarito,32.3333,-117.0333,19.24,73,14,3.37,MX,1680476392
142,kiboga,0.9161,31.7742,15.98,98,73,0.73,UG,1680476392
143,tabora,-5.0167,32.8,20.88,88,75,0.0,TZ,1680476392
144,cocobeach,1.0002,9.5823,26.89,82,40,3.06,GA,1680476392
145,khatanga,71.9667,102.5,-13.25,96,100,4.36,RU,1680475835
146,contramaestre,20.2978,-76.2414,27.08,52,15,5.18,CU,1680476393
147,shingu,33.7333,135.9833,13.4,85,100,5.49,JP,1680475873
148,ilulissat,69.2167,-51.1,-14.99,85,99,2.06,GL,1680475849
149,konstantinovsk,47.5828,41.0922,6.81,74,61,2.6,RU,1680476393
150,ust-nera,64.5667,143.2,-15.39,91,82,3.34,RU,1680476361
151,flinders,-34.5833,150.8552,21.7,83,57,1.34,AU,1680475844
152,chuguyevka,44.1653,133.8633,11.27,46,6,1.21,RU,1680476393
153,atuona,-9.8,-139.0333,27.26,76,40,6.46,PF,1680475828
154,dzheyrakh,42.8228,44.6756,-2.34,58,43,1.19,RU,1680476394
155,bakchar,57.0186,82.0711,-4.96,77,98,4.34,RU,1680476394
156,fairbanks,64.8378,-147.7164,0.61,77,100,5.14,US,1680475544
157,taoudenni,22.6783,-3.9836,28.9,6,0,4.37,ML,1680476144
158,alameda,37.5999,-121.8844,15.66,63,73,3.58,US,1680476395
159,shirpur,21.35,74.8833,24.39,59,2,6.77,IN,1680476395
160,chapais,49.7834,-74.8492,-8.12,93,100,0.2,CA,1680475876
161,serenje,-13.2325,30.2352,15.69,97,97,3.47,ZM,1680476395
162,jamestown,42.097,-79.2353,6.12,33,0,2.06,US,1680475688
163,christchurch,-43.5333,172.6333,16.29,74,40,3.6,NZ,1680476095
164,honiara,-9.4333,159.95,29.88,70,95,2.55,SB,1680476396
165,evensk,61.95,159.2333,-8.64,72,100,5.61,RU,1680476396
166,biltine,14.5333,20.9167,27.49,13,13,2.95,TD,1680476396
167,takhatgarh,25.3333,73.0,22.76,53,0,2.62,IN,1680476396
168,tiksi,71.6872,128.8694,-7.67,80,100,8.21,RU,1680475846
169,saint-augustin,51.226,-58.6502,-0.79,97,100,1.98,CA,1680475844
170,ivanivka,46.7208,34.553,8.95,95,100,6.24,UA,1680476397
171,osypenko,46.9136,36.8253,6.83,97,70,3.96,UA,1680476397
172,xam nua,20.4197,104.0439,19.01,66,28,1.53,LA,1680476397
173,provideniya,64.3833,-173.3,-10.91,57,75,2.0,RU,1680475831
174,beringovskiy,63.05,179.3167,-4.63,85,99,4.03,RU,1680475846
175,gat,31.61,34.7642,15.78,61,13,2.49,IL,1680475844
176,kelso,46.1468,-122.9084,7.69,84,75,3.09,US,1680476398
177,jaguaruna,-28.615,-49.0256,19.06,74,2,0.75,BR,1680476398
178,carnarvon,-24.8667,113.6333,23.6,79,64,4.01,AU,1680475825
179,la palma,33.8464,-118.0467,23.84,60,0,4.12,US,1680476398
180,kasongo-lunda,-6.4667,16.8167,20.27,92,92,0.21,CD,1680476398
181,san miguel,13.4833,-88.1833,36.91,14,88,2.34,SV,1680476398
182,plettenberg bay,-34.0527,23.3716,18.32,82,84,3.54,ZA,1680475526
183,veraval,20.9,70.3667,23.13,78,0,3.9,IN,1680476399
184,katsuura,35.1333,140.3,11.46,72,100,8.81,JP,1680475816
185,gao,16.6362,1.637,25.71,7,60,5.5,ML,1680476399
186,leningradskiy,69.3833,178.4167,-21.08,86,100,5.11,RU,1680475852
187,nikolayevsk-na-amure,53.1406,140.73,1.06,71,92,1.17,RU,1680476399
188,caravelas,-17.7125,-39.2481,26.14,75,47,4.82,BR,1680475851
189,whyalla,-33.0333,137.5833,18.24,39,99,3.05,AU,1680475853
190,codrington,-38.2667,141.9667,13.59,72,0,3.0,AU,1680476110
191,ilesha,7.1371,5.2583,24.55,90,98,1.78,NG,1680476401
192,dezhou,37.4486,116.2925,14.75,45,100,3.23,CN,1680476403
193,kota bahru,6.1333,102.2386,24.97,94,20,0.51,MY,1680476404
194,san quintin,30.4833,-115.95,16.03,68,0,8.34,MX,1680475846
195,eureka,40.8021,-124.1637,9.58,81,100,4.02,US,1680476388
196,manzil salim,35.8567,8.4765,7.67,83,65,13.88,TN,1680476405
197,niquelandia,-14.4739,-48.4597,21.02,95,100,0.59,BR,1680476256
198,gizo,-8.103,156.8419,28.07,71,100,3.77,SB,1680476406
199,deputatskiy,69.3,139.9,-19.7,88,97,1.45,RU,1680476406
200,parfenyevo,58.484,43.4088,4.04,94,100,2.07,RU,1680476407
201,victoria,22.2855,114.1577,22.03,90,95,0.45,HK,1680475722
202,gazojak,41.1875,61.4036,10.17,44,77,4.19,TM,1680475855
203,weligama,5.9667,80.4167,24.74,87,27,1.77,LK,1680476409
204,naples,40.8333,14.25,14.86,55,0,3.6,IT,1680476420
205,srandakan,-7.9386,110.2506,23.72,93,97,1.12,ID,1680476420
206,berestechko,50.3605,25.1107,3.33,97,100,5.54,UA,1680476420
207,boundiali,9.5217,-6.4869,29.85,32,21,1.31,CI,1680476421
208,longyearbyen,78.2186,15.6401,-8.09,93,75,1.54,SJ,1680475837
209,bada,51.392,109.8717,-11.96,76,98,6.24,RU,1680476422
210,linden,6.0,-58.3,25.01,73,98,2.68,GY,1680476422
211,prestea,5.4327,-2.1428,24.34,94,65,0.37,GH,1680476422
212,vanimo,-2.6741,141.3028,25.95,86,100,1.91,PG,1680475868
213,borazjan,29.2666,51.2159,14.59,31,0,3.36,IR,1680476423
214,souillac,-20.5167,57.5167,26.21,89,75,3.09,MU,1680475850
215,dingle,10.9995,122.6711,24.91,81,94,2.62,PH,1680475868
216,cap malheureux,-19.9842,57.6142,26.37,76,96,6.11,MU,1680476423
217,lovozero,68.005,35.0117,-15.12,100,87,1.46,RU,1680476423
218,kholmogory,64.2229,41.656,-7.45,91,16,3.01,RU,1680476424
219,taltal,-25.4,-70.4833,20.61,88,51,3.08,CL,1680476434
220,tonantins,-2.8731,-67.8022,23.3,94,100,0.78,BR,1680476434
221,alta floresta,-9.8756,-56.0861,22.9,100,75,1.54,BR,1680475849
222,nurota,40.5614,65.6886,12.6,60,100,2.53,UZ,1680476434
223,ron phibun,8.1791,99.8542,27.83,94,80,0.7,TH,1680476435
224,kahului,20.8947,-156.47,28.01,54,75,7.2,US,1680475842
225,lavrentiya,65.5833,-171.0,-14.36,72,25,0.43,RU,1680475847
226,burnie,-41.0667,145.9167,14.41,91,74,1.5,AU,1680476435
227,andros town,24.7,-77.7667,26.98,64,100,1.0,BS,1680476435
228,mount isa,-20.7333,139.5,22.87,33,53,3.09,AU,1680475860
229,viedma,-40.8135,-62.9967,16.35,74,100,5.01,AR,1680475729
230,bayji,34.9311,43.487,16.69,41,100,2.72,IQ,1680476435
231,broken hill,-31.95,141.4333,16.21,32,86,3.62,AU,1680476436
232,jacksonville,30.3322,-81.6556,29.0,33,75,4.63,US,1680476252
233,puerto suarez,-18.95,-57.8,26.31,68,60,1.73,BO,1680476437
234,richards bay,-28.783,32.0377,22.65,82,58,6.76,ZA,1680476389
235,kodiak,57.79,-152.4072,2.73,48,0,5.66,US,1680475851
236,greenwood,34.1668,-82.1165,22.2,21,0,2.06,US,1680476437
237,nantucket,41.2835,-70.0995,6.06,54,2,7.67,US,1680476437
238,pangnirtung,66.1451,-65.7125,-16.16,80,100,2.75,CA,1680475842
239,ribeira grande,38.5167,-28.7,13.21,68,68,0.45,PT,1680476437
240,broome,42.2506,-75.833,3.65,37,7,2.24,US,1680476438
241,russell,32.3502,-85.1999,22.6,54,98,2.11,US,1680476433
242,soyo,-6.1349,12.3689,28.14,81,16,5.93,AO,1680476438
243,labuhan,-6.8844,112.2051,23.93,85,100,2.96,ID,1680476438
244,qaanaaq,77.484,-69.3632,-25.72,64,4,0.39,GL,1680476438
245,port-cartier,50.0334,-66.8654,-4.18,74,10,9.72,CA,1680476438
246,zabaykalsk,49.6333,117.3167,-9.24,73,97,8.97,RU,1680476439
247,namibe,-15.1961,12.1522,24.13,76,17,4.26,AO,1680475847
248,berlevag,70.8578,29.0864,-3.03,74,88,7.2,NO,1680476439
249,ust-karsk,52.7011,118.8077,-8.01,84,95,3.4,RU,1680476439
250,pak phanang,8.3511,100.202,28.01,86,90,1.12,TH,1680476439
251,auriflama,-20.6856,-50.5547,23.38,73,0,1.94,BR,1680476439
252,la ronge,55.1001,-105.2842,-4.86,28,40,5.66,CA,1680476440
253,deoband,29.7,77.6833,17.99,65,24,0.59,IN,1680476440
254,savannah bight,16.45,-85.85,26.48,79,22,11.11,HN,1680476440
255,samarai,-10.6167,150.6667,28.69,75,86,3.83,PG,1680475851
256,batagay-alyta,67.8006,130.4114,-15.32,82,100,3.14,RU,1680476440
257,wakkanai,45.4094,141.6739,3.74,50,0,2.23,JP,1680476440
258,kismayo,-0.3582,42.5454,27.68,77,49,4.86,SO,1680476440
259,talnakh,69.4865,88.3972,-9.14,96,100,3.95,RU,1680475872
260,sychevka,55.8252,34.2736,0.73,95,100,3.89,RU,1680476440
261,vila,42.0304,-8.1588,5.94,59,90,1.79,PT,1680476441
262,maputo,-25.9653,32.5892,24.57,83,40,2.68,MZ,1680476441
263,abu kamal,34.4506,40.9171,16.28,51,45,1.84,SY,1680476441
264,genhe,50.7833,121.5167,-4.87,80,100,5.11,CN,1680476441
265,haysville,37.5645,-97.3523,28.04,31,0,6.69,US,1680476441
266,phuthaditjhaba,-28.5242,28.8158,14.42,58,44,1.66,ZA,1680476442
267,klaksvik,62.2266,-6.589,5.51,82,100,4.23,FO,1680476442
268,tanggu,39.0211,117.6469,12.98,60,100,3.2,CN,1680476442
269,takoradi,4.8845,-1.7554,25.89,90,31,0.88,GH,1680476442
270,aykhal,66.0,111.5,-8.38,89,100,12.45,RU,1680476443
271,johnson city,36.3134,-82.3535,14.97,28,0,0.51,US,1680476300
272,madison,34.7334,-86.5667,21.03,31,0,1.34,US,1680476225
273,urengoy,65.9667,78.3667,-5.95,96,100,2.75,RU,1680476443
